Bob Loblaw	8	4	0	.667	--
The K Factor	7	5	0	.583	1
New Yawk Mongos	7	5	0	.583	1
David S. Pumpkins	7	5	0	.583	1
Team Bruns	7	5	0	.583	1
Local Florida Man	7	5	0	.583	1
Team Belichick This	7	5	0	.583	1
Brett Favre's Next Team?	6	6	0	.500	2
Revenge With a Fifth	6	6	0	.500	2
The Nelson Studs	6	6	0	.500	2
Fear The Beard	5	7	0	.417	3
oh leh dew it	5	7	0	.417	3
Carpenter of Doom	4	8	0	.333	4
I Freed Willy	2	10	0	.167	6

 
